Unnamed: 0,Unnamed: 1,Kode,Mata Kuliah,SKS,No Kelas,Kuota,Dosen,Keterangan & Batasan,Jadwal (Hari / Tanggal / Waktu / Ruang / Kegiatan / Metode)
,276,WI2003,Olah Raga,1,38,-,Muhamad Fahmi Hasan,FMIPA 2024 : 108-Aktuaria  Batasan:  Prodi 108 Kelas Reguler  Semester 4,Edunex  -  MS Teams  Kamis  /  12 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Kamis  /  5 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  12 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  2 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  9 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  16 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  23 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  30 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  7 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  14 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  21 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  28 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,277,WI2003,Olah Raga,1,39,40,Samsul Bahri,SITH 2024 : 106-Biologi  Batasan:  Prodi 106 Kelas International Track  Prodi 106 Kelas Ganesha  Semester 4,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  27 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,278,WI2003,Olah Raga,1,40,40,Samsul Bahri,SITH 2024 : 106-Biologi  Batasan:  Prodi 106 Kelas International Track  Prodi 106 Kelas Ganesha  Semester 4,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,279,WI2003,Olah Raga,1,41,-,Didi Sunadi,SITH 2024 : 106-Biologi-Cirebon  Batasan:  Prodi 106 Kelas Cirebon  Semester 4,Edunex  -  MS Teams  Kamis  /  12 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Kamis  /  5 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  12 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  2 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  9 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  16 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  23 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  30 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  7 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  14 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  21 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  28 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,280,WI2003,Olah Raga,1,42,-,Kusnaedi,SITH 2024 : 114-Rekayasa Pertanian  Batasan:  Prodi 114 Kelas Reguler  Semester 4,Edunex  -  MS Teams  Selasa  /  10 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  17 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  24 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Selasa  /  3 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  10 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  17 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  24 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  31 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  7 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  14 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  21 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  28 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  5 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  12 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  19 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Selasa  /  26 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,281,WI2003,Olah Raga,1,43,-,Nia Sri Ramania,SITH 2024 : 119-Teknologi Pasca Panen  Batasan:  Prodi 119 Kelas Reguler  Semester 4,Edunex  -  MS Teams  Jumat  /  13 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Jumat  /  20 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Senin  /  23 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Senin  /  2 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  9 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  16 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  23 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  30 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  6 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  13 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  20 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  27 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  4 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  11 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  18 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Senin  /  25 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka
,282,WI2003,Olah Raga,1,44,-,Tommy Apriantono,FITB 2024 : 129-Oseanografi  Batasan:  Prodi 129 Kelas Ganesha  Semester 4,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  27 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka
,283,WI2003,Olah Raga,1,45,-,Didi Sunadi,FITB 2024 : 129-Oseanografi-Cirebon  Batasan:  Prodi 129 Kelas Cirebon  Semester 4,Edunex  -  MS Teams  Kamis  /  12 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Feb 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Kamis  /  5 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  12 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  19 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  26 Mar 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  2 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  9 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  16 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  23 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  30 Apr 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  7 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  14 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  21 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka Kamis  /  28 Mei 2026  /  07.00  -  08.50  /  -  /  Kuliah /  Tatap Muka
,284,WI2003,Olah Raga,1,46,55,Tommy Apriantono,Kelas umum bagi Mahasiswa 2024 dan sebelumnya,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  27 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka
,285,WI2003,Olah Raga,1,47,50,Tommy Apriantono  Trisha Aryanti Septina,Kelas umum bagi Mahasiswa 2024 dan sebelumnya,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  15.00  -  16.50  /  -  /  Kuliah /  Tatap Muka
,286,WI2004,Bahasa Inggris,2,1,65,Eka Herdiana Susanto,FMIPA 2025 : 102-Fisika  Batasan:  Prodi 102 Kelas Reguler  Prodi 102 Kelas International Track  Semester 2,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  15.00  -  16.50  /  R U3 04  /  Kuliah /  Tatap Muka
,287,WI2004,Bahasa Inggris,2,2,65,Evi Azizah Vebriyanti,FMIPA 2025 : 102-Fisika  Batasan:  Prodi 102 Kelas Reguler  Prodi 102 Kelas International Track  Semester 2,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  15.00  -  16.50  /  R U3 07  /  Kuliah /  Tatap Muka Senin  /  25 Mei 2026  /  13.00  -  15.00  /  -  /  Kuliah /  Tatap Muka
,288,WI2004,Bahasa Inggris,2,3,-,Eka Herdiana Susanto,FMIPA 2025 : 103-Astronomi  Batasan:  Prodi 103 Kelas Reguler  Semester 2,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  13.00  -  14.50  /  K3 101B  /  Kuliah /  Tatap Muka
,289,WI2004,Bahasa Inggris,2,4,-,Evi Azizah Vebriyanti,FMIPA 2025 : 108-Aktuaria  Batasan:  Prodi 108 Kelas Reguler  Semester 2,Edunex  -  MS Teams  Rabu  /  11 Feb 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  18 Feb 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  25 Feb 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Tampilkan semua  Rabu  /  4 Mar 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  11 Mar 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  18 Mar 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  25 Mar 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  1 Apr 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  8 Apr 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  15 Apr 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  22 Apr 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  29 Apr 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  6 Mei 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  13 Mei 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  20 Mei 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka Rabu  /  27 Mei 2026  /  10.00  -  11.50  /  D1. 9633  /  Kuliah /  Tatap Muka
,290,WI2004,Bahasa Inggris,2,5,55,Untari Gunta Pertiwi,FTI 2025 : 130-Teknik Kimia  Batasan:  Prodi 130 Kelas Reguler  Semester 2,Edunex  -  MS Teams  Kamis  /  12 Feb 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  19 Feb 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  26 Feb 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Tampilkan semua  Kamis  /  5 Mar 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  12 Mar 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  19 Mar 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  26 Mar 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  2 Apr 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  9 Apr 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  16 Apr 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  23 Apr 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  30 Apr 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  7 Mei 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  14 Mei 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  21 Mei 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka Kamis  /  28 Mei 2026  /  10.00  -  11.50  /  R U3 15  /  Kuliah /  Tatap Muka
,291,WI2004,Bahasa Inggris,2,6,55,Lusia Marliana Nurani,FTI 2025 : 130-Teknik Kimia  Batasan:  Prodi 130 Kelas Reguler  Semester 2,Edunex  -  MS Teams  Kamis  /  12 Feb 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  19 Feb 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  26 Feb 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Tampilkan semua  Kamis  /  5 Mar 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  12 Mar 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  26 Mar 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  2 Apr 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Selasa  /  7 Apr 2026  /  10.00  -  12.00  /  -  /  Kuliah /  Online / E-Learning Kamis  /  9 Apr 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Tatap Muka Kamis  /  16 Apr 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Tatap Muka Kamis  /  23 Apr 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Tatap Muka Kamis  /  30 Apr 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Tatap Muka Kamis  /  7 Mei 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Kamis  /  21 Mei 2026  /  10.00  -  11.50  /  R U3 16  /  Kuliah /  Online / E-Learning Jumat  /  29 Mei 2026  /  10.00  -  12.00  /  -  /  Kuliah /  Online / E-Learning
